%FA ,%Slag ,B/AA ,Si/AA ,Na/AA ,CS (MPa)
1,0,0.000000,1,0.312242,0.80000000
1,0,0.000000,1,0.312242,0.83636364
1,0,0.000000,1,0.312242,0.80000000
1,0,0.154839,0.858,0.345254,0.60000000
1,0,0.154839,0.858,0.345254,0.52727273
1,0,0.154839,0.858,0.345254,0.54545455
1,0,0.419355,0.608,0.401651,0.52727273
1,0,0.419355,0.608,0.401651,0.47272727
1,0,0.419355,0.608,0.401651,0.45454546
1,0,0.645161,0.4,0.449794,0.30909091
1,0,0.645161,0.4,0.449794,0.34545455
1,0,0.645161,0.4,0.449794,0.34545455
1,0,0.835484,0.222,0.491059,0.14545455
1,0,0.835484,0.222,0.491059,0.18181818
1,0,0.835484,0.222,0.491059,0.20000000
1,0,1.000000,0.068,0.525447,0.05454546
1,0,1.000000,0.068,0.525447,0.03636364
1,0,1.000000,0.068,0.525447,0.05454546
1,0,0.000000,0.9,0.381018,0.16363636
1,0,0.000000,0.9,0.381018,0.20000000
1,0,0.000000,0.9,0.381018,0.20000000
1,0,0.000000,0.7,0.518569,0.03636364
1,0,0.000000,0.7,0.518569,0.05454546
1,0,0.000000,0.7,0.518569,0.05454546
1,0,0.000000,0.5,0.656121,0.25454546
1,0,0.000000,0.5,0.656121,0.21818182
1,0,0.000000,0.5,0.656121,0.25454546
1,0,0.000000,0.3,0.793673,0.43636364
1,0,0.000000,0.3,0.793673,0.41818182
1,0,0.000000,0.3,0.793673,0.47272727
1,0,0.000000,0.1,0.931224,0.23636364
1,0,0.000000,0.1,0.931224,0.18181818
1,0,0.000000,0.1,0.931224,0.21818182
1,0,0.000000,1,0.000000,0.40000000
1,0,0.000000,1,0.000000,0.43636364
1,0,0.000000,1,0.000000,0.49090909
1,0,0.154839,0.858,0.026135,0.29090909
1,0,0.154839,0.858,0.026135,0.36363636
1,0,0.154839,0.858,0.026135,0.36363636
1,0,0.419355,0.608,0.075653,0.09090909
1,0,0.419355,0.608,0.075653,0.09090909
1,0,0.419355,0.608,0.075653,0.07272727
1,0,0.645161,0.4,0.119670,0.00000000
1,0,0.645161,0.4,0.119670,0.00000000
1,0,0.645161,0.4,0.119670,0.00000000
1,0,0.835484,0.222,0.159560,0.00000000
1,0,0.835484,0.222,0.159560,0.00000000
1,0,0.835484,0.222,0.159560,0.00000000
1,0,0.000000,1,0.154058,0.67272727
1,0,0.000000,1,0.154058,0.70909091
1,0,0.000000,1,0.154058,0.69090909
1,0,0.154839,0.858,0.184319,0.36363636
1,0,0.154839,0.858,0.184319,0.36363636
1,0,0.154839,0.858,0.184319,0.38181818
1,0,0.419355,0.608,0.240715,0.16363636
1,0,0.419355,0.608,0.240715,0.18181818
1,0,0.419355,0.608,0.240715,0.14545455
1,0,0.645161,0.4,0.290234,0.01818182
1,0,0.645161,0.4,0.290234,0.01818182
1,0,0.645161,0.4,0.290234,0.01818182
1,0,0.835484,0.222,0.332875,0.00000000
1,0,0.835484,0.222,0.332875,0.00000000
1,0,0.835484,0.222,0.332875,0.00000000
0,1,0.000000,1,0.312242,1.00000000
0,1,0.000000,1,0.312242,0.96363636
0,1,0.000000,1,0.312242,0.92727273
0,1,0.154839,0.858,0.345254,0.80000000
0,1,0.154839,0.858,0.345254,0.72727273
0,1,0.154839,0.858,0.345254,0.70909091
0,1,0.419355,0.608,0.401651,0.67272727
0,1,0.419355,0.608,0.401651,0.74545455
0,1,0.419355,0.608,0.401651,0.72727273
0,1,0.645161,0.4,0.449794,0.70909091
0,1,0.645161,0.4,0.449794,0.76363636
0,1,0.645161,0.4,0.449794,0.72727273
0,1,0.835484,0.222,0.491059,0.74545455
0,1,0.835484,0.222,0.491059,0.78181818
0,1,0.835484,0.222,0.491059,0.78181818
0,1,0.000000,0.858,0.345254,0.65454546
0,1,0.000000,0.858,0.345254,0.65454546
0,1,0.000000,0.858,0.345254,0.70909091
0,1,0.000000,0.608,0.401651,0.61818182
0,1,0.000000,0.608,0.401651,0.56363636
0,1,0.000000,0.608,0.401651,0.67272727
0,1,0.000000,0.4,0.449794,0.58181818
0,1,0.000000,0.4,0.449794,0.60000000
0,1,0.000000,0.4,0.449794,0.63636364
0,1,0.000000,0.222,0.491059,0.47272727
0,1,0.000000,0.222,0.491059,0.50909091
0,1,0.000000,0.222,0.491059,0.47272727
1,0,0.251613,0,0.118294,0.03636364
1,0,0.251613,0,0.118294,0.05454546
1,0,0.251613,0,0.118294,0.05454546
0,1,0.251613,0,0.118294,0.10909091
0,1,0.251613,0,0.118294,0.12727273
0,1,0.251613,0,0.118294,0.12727273
0.09,0.91,0.251613,0,0.118294,0.25454546
0.09,0.91,0.251613,0,0.118294,0.27272727
0.09,0.91,0.251613,0,0.118294,0.23636364
0.91,0.09,0.251613,0,0.118294,0.14545455
0.91,0.09,0.251613,0,0.118294,0.16363636
0.91,0.09,0.251613,0,0.118294,0.14545455
0.7,0.3,0.251613,0,0.118294,0.16363636
0.7,0.3,0.251613,0,0.118294,0.20000000
0.7,0.3,0.251613,0,0.118294,0.18181818
0.3,0.7,0.251613,0,0.118294,0.18181818
0.3,0.7,0.251613,0,0.118294,0.18181818
0.3,0.7,0.251613,0,0.118294,0.18181818
0.91,0.09,0.000000,0,0.160935,0.10909091
0.91,0.09,0.000000,0,0.160935,0.07272727
0.91,0.09,0.000000,0,0.160935,0.10909091
0.5,0.5,0.000000,0,1.000000,0.49090909
0.5,0.5,0.000000,0,1.000000,0.50909091
0.5,0.5,0.000000,0,1.000000,0.54545455
